Gene_id	12B-10G_MaxVal	12B-10G_MaxTime	Red_Pcnt_12B	Red_Pcnt_10G	PassMaxtime	PassRed	PassDuplDel	PassAll	Is_tRNA
PF3D7_0711700	5.407833955959371	Left	99.90430622009568	58.10034469551896	TRUE	TRUE	TRUE	TRUE	FALSE
PF3D7_1301500	3.9702854314477927	Left	46.2200956937799	12.84948295672156	TRUE	TRUE	TRUE	TRUE	FALSE
PF3D7_0220800	3.8029804515819183	Right	98.60180042137522	43.873441994247365	TRUE	TRUE	TRUE	TRUE	FALSE
PF3D7_0402000	3.435337518348164	Right	97.72117962466488	77.05893645613362	TRUE	TRUE	TRUE	TRUE	FALSE
PF3D7_1300200	3.625374215097313	Right	52.286702536510376	12.84948295672156	TRUE	TRUE	TRUE	TRUE	FALSE
PF3D7_0808900	3.5963046935848366	Left	75.62236690923018	12.84948295672156	TRUE	TRUE	TRUE	TRUE	FALSE
PF3D7_0100200	3.488587434205831	Right	56.74481168332052	18.6710072769054	TRUE	TRUE	TRUE	TRUE	FALSE
PF3D7_0302500	3.4394837132753264	Right	99.53881629515756	93.51869606903163	TRUE	TRUE	TRUE	TRUE	FALSE
PF3D7_0532600	2.672775549022326	Right	89.46763692072003	34.997120368592824	TRUE	TRUE	TRUE	TRUE	FALSE
PF3D7_0930000	2.258825258886196	Left	47.34928229665072	12.84948295672156	TRUE	TRUE	TRUE	TRUE	FALSE
PF3D7_0632600	2.0322542011793336	Left	95.04306220095694	45.05936422826503	TRUE	TRUE	TRUE	TRUE	FALSE
