Gene_id	A7-E5_MaxVal	A7-E5_MaxTime	Red_Pcnt_A7	Red_Pcnt_E5	PassMaxtime	PassRed	PassDuplDel	PassAll	Is_tRNA
PF3D7_0813300	-4.823882000733782	Left	99.67845659163989	99.9285459092533	TRUE	TRUE	TRUE	TRUE	FALSE
PF3D7_0533000	-3.995946808882217	Left	63.80850303679886	57.091818506609506	TRUE	TRUE	TRUE	TRUE	FALSE
PF3D7_0617600	-3.445885164708574	Mid	42.086459449803506	94.15862808145766	TRUE	TRUE	TRUE	TRUE	FALSE
PF3D7_0833400	-3.840534464909018	Right	1.5541264737406215	34.726688102893895	TRUE	TRUE	TRUE	TRUE	FALSE
PF3D7_0809100	-3.3505866309146435	Left	58.842443729903536	98.71382636655947	TRUE	TRUE	TRUE	TRUE	FALSE
PF3D7_0413400	-3.6675488196888777	Left	42.8367274026438	96.87388352983209	TRUE	TRUE	TRUE	TRUE	FALSE
PF3D7_0808900	-2.608134552023792	Left	5.984280100035727	58.98535191139693	TRUE	TRUE	TRUE	TRUE	FALSE
PF3D7_0324800	-3.0327419108966165	Right	11.504108610217935	34.38728117184709	TRUE	TRUE	TRUE	TRUE	FALSE
PF3D7_0221800	-3.8400746679137177	Left	1.8399428367274029	52.215076813147554	TRUE	TRUE	TRUE	TRUE	FALSE
PF3D7_0114800	-2.61574567527838	Left	7.609860664523044	43.81922115041086	TRUE	TRUE	TRUE	TRUE	FALSE
PF3D7_1478000	-2.7423708079957327	Sides	71.52554483744194	98.62450875312612	TRUE	TRUE	TRUE	TRUE	FALSE
PF3D7_1300200	-3.438338416973301	Sides	2.947481243301179	37.12040014290818	TRUE	TRUE	TRUE	TRUE	FALSE
PF3D7_1301200	-3.2368345295768144	Sides	2.947481243301179	59.50339406931047	TRUE	TRUE	TRUE	TRUE	FALSE
